JD,Magnitude,Uncertainty,HQuncertainty,Band
2457835.25417,0.20,,,Vis.
2457835.3125,0.3,,,Vis.
2457835.323,0.1,,,Vis.
2457835.5,0.6,,,Vis.
2457835.63889,0.3,,,Vis.
2457836.31667,0.25,,,Vis.
2457836.32361,0.2,,,Vis.
2457836.3333,0.3,,,Vis.
2457836.338,-0.1,,,Vis.
2457836.48403,0.60,,,Vis.
2457837.3,0.25,,,Vis.
2457837.3083,0.3,,,Vis.
2457837.33333,0.25,,,Vis.
2457837.34,0.4,,,Vis.
2457837.61944,0.6,,,Vis.
2457838.29,0.4,,,Vis.
2457838.339,0.82,,,Vis.
2457838.5,0.7,,,Vis.
2457838.59236,0.4,,,Vis.
2457839.26806,0.20,,,Vis.
2457839.3,0.7,,,Vis.
2457839.3,0.6,,,Vis.
2457839.3083,0.4,,,Vis.
2457839.31,0.3,,,Vis.
2457839.32708,0.2,,,Vis.
2457839.4166,0.3,,,Vis.
2457840.26736,0.20,,,Vis.
2457840.2792,0.3,,,Vis.
2457840.2972,0.7,,,Vis.
2457840.3,0.1,,,Vis.
2457840.3,0.6,,,Vis.
2457840.30,0.3,,,Vis.
2457840.3056,0.48,,,Vis.
2457840.3236,0.3,,,Vis.
2457840.324,0.61,,,Vis.
2457841.25694,0.15,,,Vis.
2457841.2875,0.2,,,Vis.
2457841.31,0.3,,,Vis.
2457841.448,0.5,,,Vis.
2457841.57014,0.6,,,Vis.
2457842.26271,0.15,,,Vis.
2457842.65139,0.7,,,Vis.
2457843.26389,0.15,,,Vis.
2457843.34,0.3,,,Vis.
2457843.3417,0.4,,,Vis.
2457843.58056,0.4,,,Vis.
2457844.27778,0.15,,,Vis.
2457844.3,0.8,,,Vis.
2457844.66389,0.6,,,Vis.
2457845.31,0.5,,,Vis.
2457845.34,0.4,,,Vis.
2457845.39792,0.1,,,Vis.
2457845.5,0.6,,,Vis.
2457846.319,0.3,,,Vis.
2457846.335,0.1,,,Vis.
2457846.344,0.5,,,Vis.
2457847.3,0.1,,,Vis.
2457847.3208,0.2,,,Vis.
2457848.3083,0.2,,,Vis.
2457848.326,0.5,,,Vis.
2457848.33,0.4,,,Vis.
2457848.33056,0.1,,,Vis.
2457849.1458,0.17,,,Vis.
2457849.42986,-0.2,,,Vis.
2457850.29861,0.6,,,Vis.
2457850.396,0.5,,,Vis.
2457851.30764,0.15,,,Vis.
2457851.33,0.5,,,Vis.
2457852.3,0.3,,,Vis.
2457852.3007,0.6,,,Vis.
2457852.3021,0.46,,,Vis.
2457852.33681,0.1,,,Vis.
2457852.37847,1.1,,,Vis.
2457852.396,0.5,,,Vis.
2457852.55903,0.4,,,Vis.
2457852.57569,0.4,,,Vis.
2457852.58125,0.6,,,Vis.
2457852.6,0.4,,,Vis.
2457853.3,0.6,,,Vis.
2457853.31354,0.20,,,Vis.
2457853.32,0.4,,,Vis.
2457853.3458,0.3,,,Vis.
2457854.29653,0.22,,,Vis.
2457854.55583,0.65,,,Vis.
2457855.27292,0.20,,,Vis.
2457856.29236,0.20,,,Vis.
2457856.3125,0.46,,,Vis.
2457856.382,0.5,,,Vis.
2457857.28472,0.22,,,Vis.
2457857.347,0.79,,,Vis.
2457857.99514,0.6,,,Vis.
2457858.31042,0.22,,,Vis.
2457858.5,0.5,,,Vis.
2457858.6,0.5,,,Vis.
2457859.33,0.4,,,Vis.
2457859.3403,0.65,,,Vis.
2457860.28611,0.1,,,Vis.
2457860.34745,0.22,,,Vis.
2457861.29167,0.23,,,Vis.
2457861.3250,0.3,,,Vis.
2457861.52431,0.4,,,Vis.
2457861.59375,0.6,,,Vis.
2457862.3153,0.65,,,Vis.
2457863.28750,0.22,,,Vis.
2457863.3,0.3,,,Vis.
2457863.32,0.4,,,Vis.
2457864.1181,0.11,,,Vis.
2457865.28229,0.22,,,Vis.
2457866.33056,0.21,,,Vis.
2457866.55347,0.6,,,Vis.
2457866.62639,0.6,,,Vis.
2457867.31250,0.21,,,Vis.
2457867.313,0.5,,,Vis.
2457867.5417,0.8,,,Vis.
2457867.56319,0.3,,,Vis.
2457868.30000,0.22,,,Vis.
2457868.5,0.6,,,Vis.
2457869.30451,0.26,,,Vis.
2457871.32,0.4,,,Vis.
2457873.30139,0.21,,,Vis.
2457874.29722,0.21,,,Vis.
2457874.57292,0.3,,,Vis.
2457875.31,0.4,,,Vis.
2457875.354,0.5,,,Vis.
2457876.29722,0.23,,,Vis.
2457876.58681,0.4,,,Vis.
2457877.3,0.1,,,Vis.
2457879.29861,0.20,,,Vis.
2457880.56944,0.3,,,Vis.
2457880.6,0.3,,,Vis.
2457881.34,0.7,,,Vis.
2457882.33542,0.20,,,Vis.
2457886.575,0.3,,,Vis.
2457890.30208,0.2,,,Vis.
2457954.94583,0.5,,,Vis.
2457962.94514,0.4,,,Vis.
2457964.91319,0.3,,,Vis.
2457968.93125,0.3,,,Vis.
2457973.9000,0.4,,,Vis.
2457974.91667,0.3,,,Vis.
2457975.67014,0.5,,,Vis.
2457978.94931,0.3,,,Vis.
2457982.63437,0.13,,,Vis.
2457982.63542,0.13,,,Vis.
2457984.91806,0.1,,,Vis.
2457984.93889,0.4,,,Vis.
2457988.9,0.7,,,Vis.
2457990.87917,0.6,,,Vis.
2457993.7,0.8,,,Vis.
2457994.8542,0.8,,,Vis.
2457995.3194,0.7,,,Vis.
2457995.87500,0.6,,,Vis.
2457996.55,0.6,,,Vis.
2457997.94097,0.3,,,Vis.
2457998.9000,0.5,,,Vis.
2457998.915,0.2,,,Vis.
2458000.92500,0.3,,,Vis.
2458001.6,0.3,,,Vis.
2458002.6944,0.90,,,Vis.
2458005.9,0.7,,,Vis.
2458006.92222,0.4,,,Vis.
2458007.3431,0.5,,,Vis.
2458011.91875,0.4,,,Vis.
2458012.04306,0.05,,,Vis.
2458012.51389,0.05,,,Vis.
2458012.56250,0.55,,,Vis.
2458013.8576,0.9,,,Vis.
2458013.89028,0.5,,,Vis.
2458014.663,0.5,,,Vis.
2458015.9,0.6,,,Vis.
2458017.9,0.7,,,Vis.
2458018.674,0.4,,,Vis.
2458018.87847,5.8,,,Vis.
2458019.2847,0.8,,,Vis.
2458019.81736,0.4,,,Vis.
2458022.2410,0.8,,,Vis.
2458022.931,0.2,,,Vis.
2458023.66,0.6,,,Vis.
2458023.7139,0.85,,,Vis.
2458024.66667,0.5,,,Vis.
2458025.2743,0.8,,,Vis.
2458025.53125,0.7,,,Vis.
2458025.5688,0.5,,,Vis.
2458025.8750,0.9,,,Vis.
2458025.89167,0.4,,,Vis.
2458026.97361,0.5,,,Vis.
2458027.42361,0.15,,,Vis.
2458027.70139,0.27,,,Vis.
2458027.85903,0.57,,,Vis.
2458027.9,0.9,,,Vis.
2458027.9000,0.7,,,Vis.
2458028.9000,0.7,,,Vis.
2458029.2639,0.8,,,Vis.
2458029.63,0.4,,,Vis.
2458029.729,0.3,,,Vis.
2458031.729,0.3,,,Vis.
2458032.688,0.4,,,Vis.
2458032.7111,0.85,,,Vis.
2458032.722,0.3,,,Vis.
2458033.80208,0.5,,,Vis.
2458033.9125,0.5,,,Vis.
2458035.722,0.3,,,Vis.
2458036.82500,0.6,,,Vis.
2458037.722,0.4,,,Vis.
2458039.3167,0.8,,,Vis.
2458039.8194,0.9,,,Vis.
2458039.8646,1.0,,,Vis.
2458039.96528,0.5,,,Vis.
2458040.95694,0.5,,,Vis.
2458042.6458,0.7,,,Vis.
2458042.729,0.3,,,Vis.
2458042.87153,0.7,,,Vis.
2458043.49,0.9,,,Vis.
2458043.63,0.4,,,Vis.
2458043.7,0.3,,,Vis.
2458043.7264,0.90,,,Vis.
2458043.8,0.9,,,Vis.
2458043.91528,0.63,,,Vis.
2458044.46,0.7,,,Vis.
2458044.635,0.4,,,Vis.
2458044.6458,0.6,,,Vis.
2458044.77361,0.6,,,Vis.
2458044.94375,0.5,,,Vis.
2458045.47917,0.15,,,Vis.
2458045.75,0.3,,,Vis.
2458045.8375,1.0,,,Vis.
2458046.2201,0.8,,,Vis.
2458046.75,0.3,,,Vis.
2458047.7097,0.90,,,Vis.
2458047.75000,0.6,,,Vis.
2458048.2618,0.8,,,Vis.
2458048.472,0.3,,,Vis.
2458048.47569,0.6,,,Vis.
2458049.2514,0.9,,,Vis.
2458049.6840,0.8,,,Vis.
2458049.8,1.2,,,Vis.
2458049.8028,0.7,,,Vis.
2458050.75,0.4,,,Vis.
2458050.92847,0.6,,,Vis.
2458051.86458,0.7,,,Vis.
2458052.42708,0.3,,,Vis.
2458052.75,0.5,,,Vis.
2458052.8,0.9,,,Vis.
2458053.667,0.5,,,Vis.
2458054.54,0.6,,,Vis.
2458054.7,0.3,,,Vis.
2458054.722,0.84,,,Vis.
2458054.9028,1.0,,,Vis.
2458056.6875,0.7,,,Vis.
2458056.7201,0.9,,,Vis.
2458056.93472,0.6,,,Vis.
2458057.3208,0.8,,,Vis.
2458059.2007,0.8,,,Vis.
2458059.61806,0.7,,,Vis.
2458059.69,0.7,,,Vis.
2458059.9000,0.7,,,Vis.
2458059.98403,0.7,,,Vis.
2458060.6396,0.7,,,Vis.
2458061.37,0.7,,,Vis.
2458061.66667,0.4,,,Vis.
2458061.9,1.0,,,Vis.
2458062.52083,0.4,,,Vis.
2458062.55,0.7,,,Vis.
2458062.7417,0.84,,,Vis.
2458063.69,0.7,,,Vis.
2458064.45833,0.65,,,Vis.
2458064.469,0.6,,,Vis.
2458064.5,0.6,,,Vis.
2458065.59514,0.49,,,Vis.
2458065.7229,0.6,,,Vis.
2458065.73958,0.6,,,Vis.
2458065.8000,0.6,,,Vis.
2458066.95625,0.8,,,Vis.
2458067.4,0.3,,,Vis.
2458067.458,0.6,,,Vis.
2458067.81944,0.5,,,Vis.
2458068.6729,0.8,,,Vis.
2458068.7125,0.7,,,Vis.
2458069.576,0.6,,,Vis.
2458069.57917,1.0,,,Vis.
2458069.5792,0.8,,,Vis.
2458070.08681,0.9,,,Vis.
2458070.520833,0.5,,,Vis.
2458070.7028,0.7,,,Vis.
2458071.39,0.6,,,Vis.
2458071.5,0.7,,,Vis.
2458071.74167,0.6,,,Vis.
2458072.4,0.3,,,Vis.
2458072.58958,0.8,,,Vis.
2458072.5896,0.8,,,Vis.
2458072.7,0.8,,,Vis.
2458072.7222,0.6,,,Vis.
2458073.7340,0.8,,,Vis.
2458074.2028,0.7,,,Vis.
2458074.34028,0.45,,,Vis.
2458074.34375,0.45,,,Vis.
2458074.6875,0.5,,,Vis.
2458074.69653,0.7,,,Vis.
2458074.7181,0.8,,,Vis.
2458074.7250,0.90,,,Vis.
2458075.4,0.1,,,Vis.
2458075.46875,0.59,,,Vis.
2458075.7417,1.0,,,Vis.
2458075.7500,1.0,,,Vis.
2458076.556,0.7,,,Vis.
2458076.565972,0.5,,,Vis.
2458076.74444,0.4,,,Vis.
2458077.4,0.3,,,Vis.
2458077.49306,0.5,,,Vis.
2458077.49653,0.6,,,Vis.
2458077.7243,0.7,,,Vis.
2458079.40417,0.45,,,Vis.
2458079.77847,0.7,,,Vis.
2458079.8000,0.7,,,Vis.
2458079.81806,0.7,,,Vis.
2458080.39,0.5,,,Vis.
2458080.4,0.7,,,Vis.
2458081.699,0.1,,,Vis.
2458081.7090,0.8,,,Vis.
2458081.73125,0.7,,,Vis.
2458081.78125,0.5,,,Vis.
2458082.65278,0.8,,,Vis.
2458082.7153,0.7,,,Vis.
2458082.95278,0.5,,,Vis.
2458083.5,0.7,,,Vis.
2458083.5,0.9,,,Vis.
2458083.6556,0.85,,,Vis.
2458083.70833,0.7,,,Vis.
2458083.7125,0.8,,,Vis.
2458084.3,0.3,,,Vis.
2458084.40104,0.45,,,Vis.
2458084.9,0.9,,,Vis.
2458085.438,0.4,,,Vis.
2458085.62778,0.45,,,Vis.
2458085.77708,0.6,,,Vis.
2458086.07917,0.7,,,Vis.
2458086.2229,0.7,,,Vis.
2458086.39583,0.65,,,Vis.
2458086.513889,0.6,,,Vis.
2458086.75278,0.7,,,Vis.
2458086.90139,0.63,,,Vis.
2458087.44,0.6,,,Vis.
2458088.4,0.3,,,Vis.
2458088.41875,0.45,,,Vis.
2458088.5125,0.84,,,Vis.
2458088.74653,0.7,,,Vis.
2458088.80069,0.7,,,Vis.
2458089.46597,0.45,,,Vis.
2458089.50,0.7,,,Vis.
2458089.6868,0.6,,,Vis.
2458090.79653,0.6,,,Vis.
2458091.458,0.4,,,Vis.
2458092.3,0.3,,,Vis.
2458092.37500,0.45,,,Vis.
2458093.63333,0.45,,,Vis.
2458093.70694,0.6,,,Vis.
2458094.38889,0.45,,,Vis.
2458095.1160,0.8,,,Vis.
2458095.38,0.7,,,Vis.
2458095.4549,0.83,,,Vis.
2458095.63472,0.5,,,Vis.
2458095.8,0.6,,,Vis.
2458096.36389,0.5,,,Vis.
2458096.364,0.5,,,Vis.
2458096.38,0.7,,,Vis.
2458096.60139,0.4,,,Vis.
2458097.1333,0.8,,,Vis.
2458097.4,0.3,,,Vis.
2458097.413,0.5,,,Vis.
2458098.5264,0.5,,,Vis.
2458099.451,0.6,,,Vis.
2458099.479,0.6,,,Vis.
2458100.33,0.6,,,Vis.
2458100.51,0.7,,,Vis.
2458100.61458,0.4,,,Vis.
2458101.273,0.9,,,Vis.
2458101.33333,0.45,,,Vis.
2458101.69097,0.5,,,Vis.
2458102.43750,0.3,,,Vis.
2458102.438,0.3,,,Vis.
2458103.3577,0.8,,,Vis.
2458103.361,0.4,,,Vis.
2458103.36111,0.4,,,Vis.
2458103.4,0.3,,,Vis.
2458103.503,0.6,,,Vis.
2458103.7,0.8,,,Vis.
2458104.338,0.4,,,Vis.
2458104.33819,0.4,,,Vis.
2458104.69236,0.6,,,Vis.
2458105.4,0.7,,,Vis.
2458105.6174,0.6,,,Vis.
2458105.82569,0.7,,,Vis.
2458106.1437,0.7,,,Vis.
2458106.28125,0.45,,,Vis.
2458106.3,0.3,,,Vis.
2458108.0903,0.6,,,Vis.
2458108.4458,0.80,,,Vis.
2458108.61944,0.4,,,Vis.
2458109.479,0.7,,,Vis.
2458109.55000,0.7,,,Vis.
2458110.26111,0.5,,,Vis.
2458110.4,0.3,,,Vis.
2458110.5333,0.80,,,Vis.
2458111.4826,0.3,,,Vis.
2458112.0604,0.7,,,Vis.
2458112.3,0.3,,,Vis.
2458112.5201,0.3,,,Vis.
2458112.7000,0.6,,,Vis.
2458113.3451,0.8,,,Vis.
2458113.371,0.79,,,Vis.
2458113.5042,0.3,,,Vis.
2458114.0785,0.7,,,Vis.
2458114.4,0.7,,,Vis.
2458114.51,0.7,,,Vis.
2458114.80972,0.5,,,Vis.
2458115.6,0.8,,,Vis.
2458115.68750,0.7,,,Vis.
2458116.441,0.6,,,Vis.
2458116.6701,0.9,,,Vis.
2458117.0361,0.7,,,Vis.
2458117.4,0.6,,,Vis.
2458117.44792,0.55,,,Vis.
2458118.3,0.3,,,Vis.
2458120.59236,0.4,,,Vis.
2458121.24306,0.45,,,Vis.
2458121.3,0.3,,,Vis.
2458122.59167,0.4,,,Vis.
2458122.64514,0.5,,,Vis.
2458122.65278,0.3,,,Vis.
2458123.4,0.3,,,Vis.
2458123.6,0.6,,,Vis.
2458123.67153,0.5,,,Vis.
2458123.70000,0.6,,,Vis.
2458124.30764,0.3,,,Vis.
2458124.308,0.3,,,Vis.
2458124.59028,0.6,,,Vis.
2458124.6,0.8,,,Vis.
2458124.649,0.2,,,Vis.
2458125.354,0.5,,,Vis.
2458125.35417,0.5,,,Vis.
2458125.392,0.3,,,Vis.
2458125.4,0.5,,,Vis.
2458125.424,0.5,,,Vis.
2458126.31250,0.5,,,Vis.
2458126.313,0.5,,,Vis.
2458126.35,0.6,,,Vis.
2458126.38958,0.56,,,Vis.
2458126.4,0.6,,,Vis.
2458126.4,0.9,,,Vis.
2458126.4333,0.5,,,Vis.
2458126.4465,0.3,,,Vis.
2458126.465,0.7,,,Vis.
2458127.07917,0.6,,,Vis.
2458127.2789,0.4,,,Vis.
2458127.4,0.6,,,Vis.
2458127.53,0.6,,,Vis.
2458127.6,0.6,,,Vis.
2458127.75764,0.6,,,Vis.
2458128.40,0.7,,,Vis.
2458129.87361,0.2,,,Vis.
2458129.9722,0.7,,,Vis.
2458130.3896,0.3,,,Vis.
2458130.403,0.7,,,Vis.
2458130.4986,0.80,,,Vis.
2458131.31250,0.27,,,Vis.
2458131.66528,0.4,,,Vis.
2458131.76806,0.5,,,Vis.
2458132.4,0.3,,,Vis.
2458132.43750,0.27,,,Vis.
2458132.66806,0.5,,,Vis.
2458133.25,0.6,,,Vis.
2458133.39444,0.1,,,Vis.
2458133.4,0.7,,,Vis.
2458133.4208,0.4,,,Vis.
2458133.5375,0.82,,,Vis.
2458134.242,0.4,,,Vis.
2458134.24306,0.4,,,Vis.
2458134.25,0.4,,,Vis.
2458134.29657,0.33,,,Vis.
2458134.334,0.50,,,Vis.
2458134.40417,0.22,,,Vis.
2458134.59097,0.4,,,Vis.
2458135.1132,0.6,,,Vis.
2458135.32222,0.3,,,Vis.
2458135.37,0.6,,,Vis.
2458135.4,0.3,,,Vis.
2458135.486,0.7,,,Vis.
2458135.59167,0.6,,,Vis.
2458136.27083,0.5,,,Vis.
2458136.271,0.5,,,Vis.
2458136.33,0.6,,,Vis.
2458136.356,0.7,,,Vis.
2458136.4,0.7,,,Vis.
2458136.52917,0.30,,,Vis.
2458136.6,0.7,,,Vis.
2458136.69097,0.6,,,Vis.
2458136.72708,0.6,,,Vis.
2458137.06111,0.6,,,Vis.
2458137.25,0.5,,,Vis.
2458137.25000,0.5,,,Vis.
2458137.426,0.3,,,Vis.
2458138.2326,0.8,,,Vis.
2458138.288,0.85,,,Vis.
2458138.3,0.3,,,Vis.
2458138.52777,0.0,,,Vis.
2458138.6,0.7,,,Vis.
2458140.29,0.3,,,Vis.
2458140.29,0.2,,,Vis.
2458140.3917,0.3,,,Vis.
2458141.4681,0.80,,,Vis.
2458141.5,0.7,,,Vis.
2458142.4,0.3,,,Vis.
2458142.54514,0.8,,,Vis.
2458142.65903,0.5,,,Vis.
2458144.5660,0.9,,,Vis.
2458144.59792,0.6,,,Vis.
2458145.67917,0.6,,,Vis.
2458146.57083,0.6,,,Vis.
2458147.2,0.3,,,Vis.
2458147.58542,0.4,,,Vis.
2458148.294,0.3,,,Vis.
2458148.417,0.6,,,Vis.
2458148.60139,0.5,,,Vis.
2458149.62708,0.5,,,Vis.
2458150.09583,0.6,,,Vis.
2458150.24097,0.3,,,Vis.
2458150.241,0.3,,,Vis.
2458150.24583,1.9,,,Vis.
2458150.4,0.4,,,Vis.
2458151.2333,0.3,,,Vis.
2458151.25,0.5,,,Vis.
2458151.25000,0.5,,,Vis.
2458151.34,0.5,,,Vis.
2458151.6,0.5,,,Vis.
2458151.63889,0.3,,,Vis.
2458151.64653,0.4,,,Vis.
2458152.0104,0.56,,,Vis.
2458152.316,0.6,,,Vis.
2458152.3445,0.6,,,Vis.
2458153.0431,0.6,,,Vis.
2458153.3,0.3,,,Vis.
2458154.361,0.5,,,Vis.
2458154.36111,0.5,,,Vis.
2458154.54583,0.5,,,Vis.
2458155.2514,0.3,,,Vis.
2458155.289,0.4,,,Vis.
2458155.29,0.6,,,Vis.
2458155.30972,0.3,,,Vis.
2458155.5889,0.9,,,Vis.
2458156.4125,0.4,,,Vis.
2458156.465,0.7,,,Vis.
2458156.5,0.7,,,Vis.
2458156.63542,0.4,,,Vis.
2458157.31,0.6,,,Vis.
2458157.3542,0.4,,,Vis.
2458157.4,0.6,,,Vis.
2458157.5,0.7,,,Vis.
2458157.6,0.7,,,Vis.
2458157.61111,0.3,,,Vis.
2458158.268,0.85,,,Vis.
2458158.32,0.7,,,Vis.
2458158.3542,0.8,,,Vis.
2458158.3875,0.4,,,Vis.
2458158.4,0.6,,,Vis.
2458159.281,0.5,,,Vis.
2458159.294,0.4,,,Vis.
2458159.29514,0.4,,,Vis.
2458159.318,0.3,,,Vis.
2458159.3542,0.5,,,Vis.
2458160.65694,0.4,,,Vis.
2458161.29167,0.4,,,Vis.
2458161.292,0.4,,,Vis.
2458161.3,0.3,,,Vis.
2458161.3,0.7,,,Vis.
2458161.313,0.3,,,Vis.
2458161.36,0.6,,,Vis.
2458161.4208,0.4,,,Vis.
2458161.56875,0.6,,,Vis.
2458162.1174,0.5,,,Vis.
2458162.271,0.61,,,Vis.
2458162.31389,0.3,,,Vis.
2458162.37,0.5,,,Vis.
2458162.4,0.6,,,Vis.
2458162.43542,0.3,,,Vis.
2458162.56250,0.6,,,Vis.
2458162.61319,0.6,,,Vis.
2458163.28,0.5,,,Vis.
2458163.29167,0.5,,,Vis.
2458163.292,0.5,,,Vis.
2458163.3,0.7,,,Vis.
2458163.306,0.6,,,Vis.
2458163.3917,0.4,,,Vis.
2458163.5125,0.5,,,Vis.
2458163.56528,0.7,,,Vis.
2458164.28,0.5,,,Vis.
2458164.3,0.3,,,Vis.
2458164.5347,0.9,,,Vis.
2458166.4896,0.6,,,Vis.
2458166.50833,0.7,,,Vis.
2458166.57361,0.5,,,Vis.
2458166.6,0.7,,,Vis.
2458167.375,0.3,,,Vis.
2458167.4174,0.6,,,Vis.
2458167.45069,0.4,,,Vis.
2458167.5,0.4,,,Vis.
2458167.70278,0.5,,,Vis.
2458167.98750,0.6,,,Vis.
2458168.29,0.6,,,Vis.
2458169.4556,0.5,,,Vis.
2458170.2333,0.5,,,Vis.
2458170.3,0.7,,,Vis.
2458170.37,0.3,,,Vis.
2458170.444,0.5,,,Vis.
2458170.4444,0.83,,,Vis.
2458170.58333,0.6,,,Vis.
2458170.59792,0.4,,,Vis.
2458171.3049,0.8,,,Vis.
2458171.340,0.72,,,Vis.
2458173.22431,0.3,,,Vis.
2458173.33,0.3,,,Vis.
2458173.3500,0.5,,,Vis.
2458174.3333,0.4,,,Vis.
2458175.3,0.6,,,Vis.
2458175.31250,0.5,,,Vis.
2458175.313,0.5,,,Vis.
2458175.321,0.3,,,Vis.
2458175.340,0.55,,,Vis.
2458175.53056,0.6,,,Vis.
2458175.61319,0.5,,,Vis.
2458176.27083,0.5,,,Vis.
2458176.271,0.5,,,Vis.
2458176.5,1.3,,,Vis.
2458176.50000,0.5,,,Vis.
2458176.54167,0.6,,,Vis.
2458176.55278,0.4,,,Vis.
2458177.3,0.3,,,Vis.
2458177.335,0.2,,,Vis.
2458177.58958,0.3,,,Vis.
2458178.22917,0.3,,,Vis.
2458178.4083,0.4,,,Vis.
2458179.2708,0.4,,,Vis.
2458179.63194,0.3,,,Vis.
2458180.2542,0.7,,,Vis.
2458180.3125,0.4,,,Vis.
2458180.6,0.5,,,Vis.
2458180.64097,0.6,,,Vis.
2458180.65486,0.3,,,Vis.
2458181.3000,0.5,,,Vis.
2458181.55000,0.6,,,Vis.
2458181.567,0.0,,,Vis.
2458181.6,0.7,,,Vis.
2458182.07917,0.6,,,Vis.
2458182.25359,0.5,,,Vis.
2458182.29,0.3,,,Vis.
2458182.3,0.7,,,Vis.
2458182.3,0.6,,,Vis.
2458182.61667,0.7,,,Vis.
2458182.62500,0.3,,,Vis.
2458183.2792,0.5,,,Vis.
2458183.38,0.6,,,Vis.
2458183.6597,0.9,,,Vis.
2458184.29037,0.3,,,Vis.
2458184.6,0.6,,,Vis.
2458185.3,0.3,,,Vis.
2458185.306,0.6,,,Vis.
2458185.33681,0.40,,,Vis.
2458185.351,0.2,,,Vis.
2458185.55972,0.4,,,Vis.
2458186.2827,0.7,,,Vis.
2458186.54791,0.1,,,Vis.
2458186.9833,0.7,,,Vis.
2458187.27083,0.4,,,Vis.
2458187.27083,0.7,,,Vis.
2458187.402,0.86,,,Vis.
2458188.27083,0.40,,,Vis.
2458188.30556,0.5,,,Vis.
2458188.315,0.8,,,Vis.
2458188.62847,0.4,,,Vis.
2458189.05833,0.6,,,Vis.
2458189.2627,0.6,,,Vis.
2458190.30,0.5,,,Vis.
2458190.32,0.5,,,Vis.
2458190.33,0.4,,,Vis.
2458190.70903,0.5,,,Vis.
2458191.3,0.3,,,Vis.
2458191.306,0.6,,,Vis.
2458191.31,0.2,,,Vis.
2458191.53403,0.7,,,Vis.
2458191.55972,0.4,,,Vis.
2458192.3,0.8,,,Vis.
2458192.36042,0.3,,,Vis.
2458192.40000,0.8,,,Vis.
2458192.56042,0.5,,,Vis.
2458192.58542,0.8,,,Vis.
2458192.70764,0.7,,,Vis.
2458193.56944,0.7,,,Vis.
2458193.64722,0.5,,,Vis.
2458194.53819,0.7,,,Vis.
2458194.6,0.7,,,Vis.
2458195.2875,0.5,,,Vis.
2458195.2958,0.5,,,Vis.
2458195.36111,0.6,,,Vis.
2458195.577,0.1,,,Vis.
2458196.3313,0.8,,,Vis.
2458196.4,0.7,,,Vis.
2458196.54861,0.6,,,Vis.
2458196.5694,1.0,,,Vis.
2458196.99028,0.6,,,Vis.
2458197.2667,0.5,,,Vis.
2458197.32778,0.3,,,Vis.
2458197.33,0.6,,,Vis.
2458197.9764,0.5,,,Vis.
2458198.2583,0.5,,,Vis.
2458198.292,0.8,,,Vis.
2458198.3306,0.80,,,Vis.
2458198.341,0.72,,,Vis.
2458198.343,0.3,,,Vis.
2458198.4,0.6,,,Vis.
2458198.54514,0.6,,,Vis.
2458198.57431,0.4,,,Vis.
2458198.63264,0.4,,,Vis.
2458199.314,0.82,,,Vis.
2458199.3188,0.5,,,Vis.
2458199.64792,0.5,,,Vis.
2458200.3,0.5,,,Vis.
2458200.319,0.5,,,Vis.
2458202.1875,0.1,,,Vis.
2458202.62708,0.5,,,Vis.
2458203.3,0.5,,,Vis.
2458203.56667,0.5,,,Vis.
2458203.58194,0.6,,,Vis.
2458204.29444,0.3,,,Vis.
2458205.39,0.4,,,Vis.
2458205.39028,0.4,,,Vis.
2458206.3292,0.78,,,Vis.
2458207.26389,0.40,,,Vis.
2458207.4,0.9,,,Vis.
2458208.25694,0.40,,,Vis.
2458208.309,0.61,,,Vis.
2458208.3111,0.83,,,Vis.
2458208.56319,0.4,,,Vis.
2458208.65556,0.7,,,Vis.
2458209.28125,0.40,,,Vis.
2458209.52083,0.5,,,Vis.
2458210.28819,0.40,,,Vis.
2458210.3,0.5,,,Vis.
2458210.32,0.5,,,Vis.
2458210.55764,0.7,,,Vis.
2458210.667,<0.5,,,Vis.
2458211.28819,0.40,,,Vis.
2458211.5069,0.8,,,Vis.
2458212.356,0.7,,,Vis.
2458212.53472,0.2,,,Vis.
2458212.6,0.6,,,Vis.
2458213.6,0.5,,,Vis.
2458214.27083,0.36,,,Vis.
2458214.2917,0.4,,,Vis.
2458214.3,0.4,,,Vis.
2458214.37500,0.3,,,Vis.
2458214.6,0.7,,,Vis.
2458215.3257,0.7,,,Vis.
2458216.3194,0.5,,,Vis.
2458216.37,0.7,,,Vis.
2458216.57222,0.3,,,Vis.
2458216.9764,0.5,,,Vis.
2458217.30,0.4,,,Vis.
2458217.30,0.1,,,Vis.
2458217.32,0.5,,,Vis.
2458219.57014,0.4,,,Vis.
2458220.28125,0.3,,,Vis.
2458220.3,0.6,,,Vis.
2458220.97778,0.6,,,Vis.
2458223.29,0.5,,,Vis.
2458223.6,0.4,,,Vis.
2458225.3,0.4,,,Vis.
2458226.60347,0.6,,,Vis.
2458228.32676,1.1,,,Vis.
2458228.35694,0.4,,,Vis.
2458228.48333,0.2,,,Vis.
2458229.29167,0.38,,,Vis.
2458229.30,0.7,,,Vis.
2458230.6,0.7,,,Vis.
2458238.56806,0.6,,,Vis.
2458239.6,0.5,,,Vis.
2458244.57083,0.4,,,Vis.
2458247.5,0.9,,,Vis.
2458249.57083,0.4,,,Vis.
2458253.30000,0.35,,,Vis.
2458254.30671,0.51,,,Vis.
2458255.58333,0.4,,,Vis.
2458256.30671,0.51,,,Vis.
2458256.31019,0.51,,,Vis.
